State,Year,Region,County,Adult obesity,Physical inactivity,Access to exercise opportunities
AZ,1/1/2015,West,Graham County,0.35,0.242,0.435
AZ,1/1/2014,West,Greenlee County,0.342,0.245,0.05
AZ,1/1/2015,West,Greenlee County,0.354,0.245,0.05
AZ,1/1/2014,West,La Paz County,0.312,0.318,0.185
AZ,1/1/2015,West,La Paz County,0.32,0.307,0.355
AZ,1/1/2014,West,Maricopa County,0.228,0.196,0.509
AZ,1/1/2015,West,Maricopa County,0.226,0.196,0.926
AZ,1/1/2014,West,Mohave County,0.271,0.316,0.206
AZ,1/1/2015,West,Mohave County,0.266,0.307,0.68
AZ,1/1/2014,West,Navajo County,0.317,0.24,0.365
AZ,1/1/2015,West,Navajo County,0.312,0.239,0.478
AZ,1/1/2014,West,Pima County,0.241,0.198,0.551
AZ,1/1/2015,West,Pima County,0.221,0.189,0.857
AZ,1/1/2014,West,Pinal County,0.314,0.23,0.143
AZ,1/1/2015,West,Pinal County,0.302,0.236,0.706
AZ,1/1/2014,West,Santa Cruz County,0.201,0.189,0.24
AZ,1/1/2015,West,Santa Cruz County,0.205,0.178,0.477
AZ,1/1/2014,West,Yavapai County,0.234,0.211,0.529
AZ,1/1/2015,West,Yavapai County,0.259,0.196,0.9
AZ,1/1/2014,West,Yuma County,0.311,0.251,0.491
AZ,1/1/2015,West,Yuma County,0.312,0.251,0.769
CT,1/1/2015,Northeast,Fairfield County,0.196,0.198,0.964
CT,1/1/2014,Northeast,Hartford County,0.246,0.233,0.946
CT,1/1/2015,Northeast,Hartford County,0.261,0.227,0.957
CT,1/1/2014,Northeast,Litchfield County,0.219,0.2,0.814
CT,1/1/2015,Northeast,Litchfield County,0.235,0.197,0.919
CT,1/1/2014,Northeast,Middlesex County,0.239,0.214,0.838
CT,1/1/2015,Northeast,Middlesex County,0.235,0.202,0.945
CT,1/1/2014,Northeast,New Haven County,0.274,0.254,0.92
CT,1/1/2015,Northeast,New Haven County,0.269,0.241,0.96
CT,1/1/2014,Northeast,New London County,0.25,0.234,0.861
CT,1/1/2015,Northeast,New London County,0.263,0.214,0.916
CT,1/1/2014,Northeast,Tolland County,0.234,0.192,0.841
CT,1/1/2015,Northeast,Tolland County,0.24,0.172,0.88
CT,1/1/2014,Northeast,Windham County,0.3,0.249,0.831
CT,1/1/2015,Northeast,Windham County,0.303,0.235,0.873
